naics_description,license_count,share_of_total
"Toilet Preparation Manufacturing",3,0.02
"Fresh Fruit and Vegetable Merchant Wholesalers",3,0.02
"General Warehousing and Storage",3,0.02
"Offices of Notaries",3,0.02
"Other Sound Recording Industries",3,0.02
"Luggage and Leather Goods Retailers",3,0.02
"Family Planning Centers",3,0.02
"Soil Preparation, Planting, and Cultivating",3,0.02
"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",3,0.02
"Electromedical and Electrotherapeutic Apparatus Manufacturing",3,0.02
"Oil and Gas Pipeline and Related Structures Construction",2,0.02
"Automobile Driving Schools",2,0.02
"Administration of General Economic Programs",2,0.02
"Bowling Centers",2,0.02
"Other Animal Food Manufacturing",2,0.02
"Media Representatives",2,0.02
"Other Foundation, Structure, and Building Exterior Contractors",2,0.02
"Power Boiler and Heat Exchanger Manufacturing",2,0.02
Logging,2,0.02
"Commodity Contracts Intermediation",2,0.02
"Gasket, Packing, and Sealing Device Manufacturing",2,0.02
"Offices of Podiatrists",2,0.02
"Other Communications Equipment Manufacturing",2,0.02
"Seafood Product Preparation and Packaging",2,0.02
"Special Needs Transportation",2,0.02
"Credit Card Issuing",2,0.02
"Window Treatment Retailers",2,0.02
"Computer Training",2,0.02
"Industrial and Personal Service Paper Merchant Wholesalers",2,0.02
"Sporting and Athletic Goods Manufacturing",2,0.02
"Rendering and Meat Byproduct Processing",2,0.02
Marinas,2,0.02
"Musical Instrument Manufacturing",2,0.02
"Farm Supplies Merchant Wholesalers",2,0.02
"Land Subdivision",2,0.02
"Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers",2,0.02
"Scheduled Passenger Air Transportation",2,0.02
"Indoor and Outdoor Display Advertising",2,0.02
"Fish and Seafood Retailers",2,0.02
"Iron and Steel Pipe and Tube Manufacturing from Purchased Steel",2,0.02
"Other Noncitrus Fruit Farming",2,0.02
"Automotive Glass Replacement Shops",2,0.02
"Fruit and Vegetable Canning",2,0.02
"Medical Laboratories",2,0.02
